"element","group","type","dims","unit","label","read_by_stan","observed_min","observed_median","observed_max","file"
"N_cases","dimension","integer","1","count","Number of two-week periods with arrest counts (the full timeline, January 2011 onward).","yes","377","377","377","data/data_kesi2025-09-22.RDS"
"y","earnings","double array","87 x 11","mean per-capita earnings per two-week period","N_obs x K observed earnings: household sectoral earnings averaged over all surveyed individuals island-wide, per two-week period. Column names are the sectors.","yes","1","7.014","52.11","data/data_kesi2025-09-22.RDS"
"K","dimension","integer","1","count","Number of economic sectors (columns of y).","yes","11","11","11","data/data_kesi2025-09-22.RDS"
"p","time","integer","377","period of year","Period of the year (1..LP) for each timeline position; identical to period.","yes","1","13","26","data/data_kesi2025-09-22.RDS"
"N_obs","dimension","integer","1","count","Number of periods with observed survey earnings.","yes","87","87","87","data/data_kesi2025-09-22.RDS"
"N_est","dimension","integer","1","count","Number of periods whose earnings are imputed (before the survey started).","yes","290","290","290","data/data_kesi2025-09-22.RDS"
"N_eco","dimension","integer","1","count","Number of economic observations; equals N_obs.","yes","87","87","87","data/data_kesi2025-09-22.RDS"
"N_env","dimension","integer","1","count","Number of periods with weather data; equals N_cases.","yes","377","377","377","data/data_kesi2025-09-22.RDS"
"sver","survey","double","87","code","Questionnaire version (1..NV) in force for each observed-earnings period; absorbs version offsets.","yes","1","5","5","data/data_kesi2025-09-22.RDS"
"wind","weather","double","377","m/s","Median daily wind speed (ERA5; sqrt of summed squared median northerly and easterly components) over the period.","no","2.151","6.039","9.601","data/data_kesi2025-09-22.RDS"
"waves","weather","double","377","m","Median daily significant wave height (WAVEWATCH III) over the period.","no","0.3425","1.332","2.39","data/data_kesi2025-09-22.RDS"
"lag2_rain","weather","double","377","100 mm","Cumulative rainfall (CHIRPS) in the month 2 months before the period, divided by 100.","no","0","0.6824","11.45","data/data_kesi2025-09-22.RDS"
"lag3_rain","weather","double","377","100 mm","Cumulative rainfall (CHIRPS) in the month 3 months before the period, divided by 100.","no","0","0.6824","11.45","data/data_kesi2025-09-22.RDS"
"lag4_rain","weather","double","377","100 mm","Cumulative rainfall (CHIRPS) in the month 4 months before the period, divided by 100.","no","0","0.6699","11.45","data/data_kesi2025-09-22.RDS"
"lag5_rain","weather","double","377","100 mm","Cumulative rainfall (CHIRPS) in the month 5 months before the period, divided by 100.","no","0","0.666","11.45","data/data_kesi2025-09-22.RDS"
"lag6_rain","weather","double","377","100 mm","Cumulative rainfall (CHIRPS) in the month 6 months before the period, divided by 100.","no","0","0.666","11.45","data/data_kesi2025-09-22.RDS"
"moisture","weather","double","377","100 mm","Cumulative rainfall (CHIRPS) over the period, divided by 100.","no","0","0.2811","5.892","data/data_kesi2025-09-22.RDS"
"heat","weather","double","377","degrees C","Median daily maximum 2 m temperature (ERA5) over the period.","no","24.74","27.37","30.61","data/data_kesi2025-09-22.RDS"
"lag2_heat","weather","double","377","degrees C","Mean daily maximum 2 m temperature (ERA5) in the month 2 months before the period.","no","24.84","27.48","30.22","data/data_kesi2025-09-22.RDS"
